nilai_mtk_sma,nilai_ipa_sma,nilai_fisika_sma,nilai_bahasa_indonesia_sma,nilai_bahasa_inggris_sma,sma_asal,jurusan_kuliah_sekarang,semester_sekarang,ipk_sekarang
85.62,81.48,86.09,71.96,65.11,SMA_36,Teknik Elektro,1,3.1
94.26,79.37,81.95,78.44,81.31,SMA_13,Teknik Elektro,7,3.57
90.98,84.18,93.68,61.77,79.14,SMA_32,Teknik Elektro,6,3.61
88.98,77.09,88.8,63.92,79.58,SMA_7,Teknik Elektro,1,3.45
82.34,79.38,82.44,60.9,80.43,SMA_22,Teknik Elektro,1,3.62
82.34,80.5,89.9,66.51,66.48,SMA_28,Teknik Elektro,1,3.4
80.87,81.84,80.69,67.77,72.17,SMA_2,Teknik Elektro,3,3.42
92.99,86.78,98.19,65.43,67.32,SMA_42,Teknik Elektro,6,3.34
89.02,78.0,85.18,76.57,82.26,SMA_45,Teknik Elektro,1,3.02
90.62,82.71,93.25,67.14,77.47,SMA_6,Teknik Elektro,4,3.09
80.31,83.89,86.23,65.62,71.62,SMA_28,Teknik Elektro,5,3.03
94.55,75.7,90.4,70.85,66.27,SMA_28,Teknik Elektro,1,3.51
92.49,84.11,90.93,62.82,71.22,SMA_44,Teknik Elektro,3,3.25
83.19,77.56,83.7,76.04,71.5,SMA_44,Teknik Elektro,7,3.41
82.73,75.98,99.39,61.49,79.59,SMA_20,Teknik Elektro,6,3.73
82.75,89.23,95.5,79.74,77.75,SMA_30,Teknik Elektro,8,3.2
84.56,89.48,98.79,75.44,82.74,SMA_11,Teknik Elektro,3,3.33
87.87,87.13,97.9,63.97,74.44,SMA_28,Teknik Elektro,1,3.6
92.27,70.66,85.16,64.57,85.71,SMA_17,Teknik Komputer,8,3.45
95.39,76.9,88.92,63.5,83.38,SMA_44,Teknik Komputer,7,3.63
89.04,82.69,92.17,79.64,81.61,SMA_28,Teknik Komputer,1,3.61
88.66,83.61,81.52,70.33,77.45,SMA_30,Teknik Komputer,8,3.71
87.52,80.62,79.4,65.22,88.8,SMA_29,Teknik Komputer,3,3.4
88.28,78.96,89.22,79.93,89.47,SMA_46,Teknik Komputer,8,3.67
93.37,81.06,91.19,79.31,75.68,SMA_6,Teknik Komputer,2,3.98
91.06,81.85,81.97,71.17,76.11,SMA_35,Teknik Komputer,1,3.59
85.97,71.62,76.92,77.65,79.71,SMA_41,Teknik Komputer,2,3.92
88.81,77.39,93.81,63.77,78.97,SMA_37,Teknik Komputer,7,3.55
88.7,74.84,82.95,65.58,89.89,SMA_24,Teknik Komputer,6,3.48
95.44,86.06,85.36,74.01,73.52,SMA_29,Teknik Komputer,2,3.72
95.68,79.41,91.75,76.93,70.36,SMA_49,Teknik Komputer,3,3.74
87.22,89.67,88.51,77.13,79.88,SMA_46,Teknik Komputer,8,3.89
99.97,77.98,89.7,68.09,73.58,SMA_31,Teknik Komputer,6,3.38
89.0,86.33,79.18,77.76,77.33,SMA_35,Teknik Komputer,8,3.6
99.65,85.97,85.83,77.02,84.88,SMA_33,Teknik Komputer,2,3.66
91.17,73.01,88.92,78.71,84.42,SMA_21,Teknik Komputer,8,3.81
90.07,80.95,84.07,73.57,76.84,SMA_29,Teknik Telekomunikasi,4,3.5
85.38,75.76,94.48,78.77,71.84,SMA_13,Teknik Telekomunikasi,2,3.53
83.81,88.3,86.86,66.16,71.88,SMA_12,Teknik Telekomunikasi,5,3.65
84.43,75.41,92.63,83.3,76.23,SMA_31,Teknik Telekomunikasi,2,3.59
84.84,83.68,82.92,73.85,89.59,SMA_46,Teknik Telekomunikasi,5,3.86
92.73,81.58,86.17,69.8,73.51,SMA_2,Teknik Telekomunikasi,3,3.86
82.05,85.08,90.49,66.88,70.34,SMA_35,Teknik Telekomunikasi,5,3.79
90.63,79.92,82.08,68.66,85.27,SMA_23,Teknik Telekomunikasi,8,3.61
88.29,77.33,81.99,83.69,86.14,SMA_17,Teknik Telekomunikasi,4,3.74
84.45,89.73,94.54,77.77,76.93,SMA_26,Teknik Telekomunikasi,1,3.64
86.3,87.58,90.72,75.33,79.29,SMA_8,Teknik Telekomunikasi,5,3.56
83.84,87.91,80.62,78.14,83.0,SMA_29,Teknik Telekomunikasi,5,3.2
89.17,78.75,85.98,73.71,70.96,SMA_26,Teknik Telekomunikasi,1,3.75
81.22,75.58,86.5,79.6,88.98,SMA_10,Teknik Telekomunikasi,4,3.76
80.08,79.55,91.16,65.95,87.73,SMA_26,Teknik Telekomunikasi,2,3.6
89.42,83.06,83.76,76.32,75.22,SMA_34,Teknik Telekomunikasi,5,3.76
82.91,79.9,82.77,68.17,70.31,SMA_41,Teknik Telekomunikasi,1,3.62
81.06,87.42,81.21,67.4,88.67,SMA_7,Teknik Telekomunikasi,8,3.27
87.1,70.16,78.24,77.41,82.98,SMA_28,Teknik Industri,3,3.32
89.86,83.58,76.62,86.26,84.92,SMA_37,Teknik Industri,8,3.4
81.19,71.37,83.32,88.94,81.67,SMA_41,Teknik Industri,5,3.46
80.58,74.79,75.26,89.72,89.24,SMA_36,Teknik Industri,7,3.26
86.65,84.25,71.76,85.07,77.5,SMA_27,Teknik Industri,1,3.4
80.11,84.26,72.14,77.53,75.71,SMA_17,Teknik Industri,2,3.37
88.96,78.6,81.42,71.67,87.37,SMA_9,Teknik Industri,2,3.62
87.88,79.48,79.27,85.54,74.47,SMA_33,Teknik Industri,8,2.94
81.43,76.73,71.52,81.17,89.26,SMA_20,Teknik Industri,6,3.12
86.26,74.4,71.26,78.48,70.24,SMA_13,Teknik Industri,2,3.66
86.32,74.93,80.51,88.13,89.4,SMA_28,Teknik Industri,3,3.61
76.55,80.09,71.09,72.22,70.86,SMA_48,Teknik Industri,5,3.26
88.54,81.29,82.33,79.85,87.82,SMA_29,Teknik Industri,5,3.4
82.58,81.87,80.59,70.23,80.55,SMA_13,Teknik Industri,7,3.12
87.4,81.84,71.22,79.37,89.86,SMA_46,Teknik Industri,8,3.05
79.8,71.37,71.27,71.13,71.48,SMA_35,Teknik Industri,1,3.27
88.43,77.42,84.8,72.38,81.08,SMA_6,Teknik Industri,6,3.18
80.84,70.86,75.61,72.35,89.39,SMA_18,Teknik Industri,1,3.37
82.21,80.14,66.77,88.21,83.01,SMA_14,Sistem Informasi,8,3.1
89.78,72.56,80.84,75.96,88.95,SMA_24,Sistem Informasi,1,3.26
80.65,69.82,76.8,80.47,78.6,SMA_2,Sistem Informasi,7,3.26
86.24,69.1,74.6,83.95,88.93,SMA_45,Sistem Informasi,5,3.07
80.89,70.03,73.41,85.93,83.23,SMA_26,Sistem Informasi,4,3.38
